,ADDR_PCT_CD,BORO_NM,JURISDICTION_CODE,LAW_CAT_CD,Latitude,Longitude,FIPS
1490,110,QUEENS,0.0,MISDEMEANOR,40.733926841,-73.871582398,360810475001010
1491,110,QUEENS,0.0,VIOLATION,40.749299693000005,-73.863959164,360810405002003
1492,13,MANHATTAN,0.0,MISDEMEANOR,40.744502305,-73.991646934,360610091001000
1493,28,MANHATTAN,0.0,MISDEMEANOR,40.807699163,-73.947384858,360610222002001
1494,115,QUEENS,0.0,FELONY,40.756738636,-73.874209472,360810353002002
1495,14,MANHATTAN,0.0,MISDEMEANOR,40.753790581,-73.992306283,360610111001001
1496,103,QUEENS,2.0,VIOLATION,40.694593238,-73.79347285,360810254004001
1497,44,BRONX,2.0,VIOLATION,40.836689797,-73.928667418,360050193002000
1498,43,BRONX,0.0,MISDEMEANOR,40.829788065,-73.88040582100001,360050054002001
1499,49,BRONX,0.0,MISDEMEANOR,40.853408341,-73.864848739,360050224042000
1500,106,QUEENS,0.0,FELONY,40.67447573,-73.849413887,360810058001004
1501,69,BROOKLYN,0.0,MISDEMEANOR,40.648813779,-73.898651359,360470974001001
1502,49,BRONX,0.0,MISDEMEANOR,40.853408341,-73.864848739,360050224042000
1503,30,MANHATTAN,0.0,VIOLATION,40.823462946,-73.943383482,360610231001000
1504,81,BROOKLYN,0.0,MISDEMEANOR,40.685040958,-73.921776995,360470377001001
1505,47,BRONX,0.0,VIOLATION,40.870496732,-73.86242041199999,360050340001001
1506,13,MANHATTAN,0.0,MISDEMEANOR,40.736868993,-73.98970654600001,360610052001003
1507,13,MANHATTAN,0.0,FELONY,40.739572936,-73.995234495,360610081001000
1508,100,QUEENS,0.0,MISDEMEANOR,40.595437653000005,-73.799695673,360810954001015
1509,78,BROOKLYN,1.0,FELONY,40.68406075,-73.97745929199999,360470035001007
1510,41,BRONX,0.0,VIOLATION,40.813200230999996,-73.887097244,360050093005001
1511,40,BRONX,0.0,VIOLATION,40.819211404,-73.916351662,360050067006001
1512,73,BROOKLYN,0.0,MISDEMEANOR,40.674262619000004,-73.904153669,360470908001001
1513,103,QUEENS,0.0,MISDEMEANOR,40.702511756,-73.787356774,360810440001001
1514,94,BROOKLYN,0.0,MISDEMEANOR,40.729509797,-73.953959122,360470575004002
1515,47,BRONX,0.0,VIOLATION,40.882429881,-73.861762856,360050390002000
1516,44,BRONX,0.0,MISDEMEANOR,40.835346756999996,-73.915207487,360050179011001
1517,101,QUEENS,0.0,FELONY,40.601700451999996,-73.767198076,360811008023011
