,Location,Longitude,Latitude,Borough,FIPS
1103,E 163 ST,-73.909008,40.824059999999996,Bronx,360050141002001
1104,Claremont Pkwy,-73.897518,40.836625,Bronx,360050163001001
1105,Claremont Pkwy,-73.902935,40.839078,Bronx,360050167002006
1106,Claremont Pkwy,-73.902357,40.838623,Bronx,360050169001000
1107,E 174 ST,-73.883724,40.836090000000006,Bronx,360050161001009
1108,Dreiser Loop East,-73.828249,40.878003,Bronx,360050462013000
1109,RIVERDALE AV,-73.90763299999999,40.887989000000005,Bronx,360050295001001
1110,RIVERDALE AV,-73.906948,40.886860999999996,Bronx,360050295002002
1111,Grand Concourse,-73.904864,40.851268,Bronx,360050235011002
1112,PROSPECT AV,-73.900021,40.823862,Bronx,360050129012000
1113,EASTCHESTER RD,-73.843592,40.854883,Bronx,360050296001020
1114,EASTCHESTER RD,-73.84291800000001,40.859814,Bronx,360050312002004
1115,MORRIS PARK AV,-73.851768,40.850242,Bronx,360050250001004
1116,CROTONA AV,-73.897642,40.836287,Bronx,360050163001004
1117,FRANKLIN AV,-73.903472,40.83051,Bronx,360050149003002
1118,BAINBRIDGE AV,-73.877708,40.886755,Bronx,360050435001025
1119,MORRIS PARK AV,-73.867471,40.844844,Bronx,360050236002001
1120,MORRIS PARK AV,-73.862942,40.845989,Bronx,360050232001003
1121,MORRIS PARK AV,-73.857428,40.847691999999995,Bronx,360050244001000
1122,Pelham Pkwy North,-73.867257,40.857362,Bronx,360050224031000
1123,EASTCHESTER RD,-73.843699,40.854207,Bronx,360050296002000
1124,ALLERTON AV,-73.853607,40.865299,Bronx,360050326002000
1125,ALLERTON AV,-73.860153,40.865624,Bronx,360050342002008
1126,ALLERTON AV,-73.861874,40.865642,Bronx,360050340004001
1127,ALLERTON AV,-73.867769,40.865521,Bronx,360050336002000
1128,WHITE PLAINS RD,-73.86695,40.847143,Bronx,360050236001000
1129,Williamsbridge Rd,-73.84451700000001,40.842439,Bronx,360050200001006
1130,Pelham Pkwy North,-73.84633000000001,40.858143,Bronx,360050296001002
1131,Pelham Pkwy North,-73.856977,40.857603000000005,Bronx,360050248001000
1132,WEST FARMS RD,-73.891469,40.825224,Bronx,360050127011003
1133,Pelham Pkwy South,-73.861807,40.856864,Bronx,360050248001001
1134,BOSTON RD,-73.840869,40.88035,Bronx,360050462022002
1135,E GUN HILL RD,-73.84503000000001,40.869959,Bronx,360050358007002
1136,ALLERTON AV,-73.862914,40.865621999999995,Bronx,360050340004002
1137,BAYCHESTER AV,-73.84490500000001,40.89651,Bronx,360050428001000
1138,E GUN HILL RD,-73.84826600000001,40.871634,Bronx,360050364001006
1139,E GUN HILL RD,-73.862431,40.875994,Bronx,360050372002000
1140,E 233 ST,-73.85691899999999,40.893148,Bronx,360050422001003
1141,BOSTON RD,-73.840994,40.880546,Bronx,360050460001006
1142,BOSTON RD,-73.842444,40.879746999999995,Bronx,360050460002000
1143,Grand Concourse,-73.897879,40.860527000000005,Bronx,360050237021001
1144,DYRE AV,-73.83121899999999,40.884966,Bronx,360050484002017
1145,EASTCHESTER RD,-73.84612,40.876313,Bronx,360050358006000
1146,E 229 ST,-73.847023,40.88675,Bronx,360050458004000
1147,SOUTHERN BLVD,-73.883152,40.847611,Bronx,360050363006000
1148,Grand Concourse,-73.901267,40.8558,Bronx,360050237043000
1149,Grand Concourse,-73.902407,40.854319,Bronx,360050235012000
1150,Grand Concourse,-73.902245,40.853719,Bronx,360050235024001
1151,Grand Concourse,-73.90031,40.856312,Bronx,360050383011001
1152,W TREMONT AV,-73.91668299999999,40.851857,Bronx,360050205021000
1153,WEBSTER AV,-73.8965,40.855063,Bronx,360050383022001
1154,W FORDHAM RD,-73.90402399999999,40.862655,Bronx,360050253004000
1155,UNIVERSITY AV,-73.920594,40.847057,Bronx,360050215013001
1156,MACOMBS ROAD,-73.916287,40.848516,Bronx,360050215023000
1157,W KINGSBRIDGE RD,-73.90163000000001,40.868536,Bronx,360050267011002
1158,W KINGSBRIDGE RD,-73.901474,40.868276,Bronx,360050263005000
1159,UNIVERSITY AV,-73.90306,40.865486,Bronx,360050265002000
1160,UNDERCLIFF AV,-73.92155100000001,40.849777,Bronx,360050205013000
1161,W 238 ST,-73.89828,40.884094,Bronx,360050279001001
1162,RIVERDALE AV,-73.90332099999999,40.910344,Bronx,360050319001006
1163,RIVERDALE AV,-73.907123,40.886299,Bronx,360050295001005
1164,MORRIS PARK AV,-73.859677,40.846455999999996,Bronx,360050238002000
1165,UNIVERSITY AV,-73.917252,40.84898,Bronx,360050215024000
1166,BOSTON RD,-73.833141,40.884237,Bronx,360050462021011
1167,Hutchinson River Pkwy,-73.823678,40.86558,Bronx,360050302005000
1168,EDGEWATER PARK,-73.81095400000001,40.822596000000004,Bronx,360050138001029
1169,COOP CITY BLVD,-73.825867,40.879407,Bronx,360050462011010
1170,DREISER LOOP,-73.82914699999999,40.875784,Bronx,360050462013003
1171,Dreiser Loop South,-73.829266,40.875818,Bronx,360050462013003
1172,KAPPOCK ST,-73.918014,40.877472999999995,Bronx,360050293022001
1173,Grand Concourse,-73.890867,40.870506,Bronx,360050407011001
1174,DYRE AV,-73.831159,40.888133,Bronx,360050484002004
1175,E 180 ST,-73.878529,40.842938000000004,Bronx,360050361005000
1176,COOP CITY BLVD,-73.824795,40.879412,Bronx,360050462012001
1177,Castle Hill Av,-73.84793499999999,40.819340000000004,Bronx,360050090003000
1178,E FORDHAM RD,-73.89626899999999,40.862233,Bronx,360050237021000
1179,SEDGWICK AV,-73.901989,40.872673,Bronx,360050267023000
1180,SOUTHERN BLVD,-73.884493,40.84621,Bronx,360050365011001
1181,BROADWAY,-73.90669100000001,40.876487,Bronx,360050283001008
1182,W BURNSIDE AV,-73.912803,40.853840999999996,Bronx,360050245022000
1183,WHITE PLAINS RD,-73.866137,40.844891,Bronx,360050236002000
1184,METROPOLITAN OVAL,-73.859466,40.838716999999995,Bronx,360050210027001
1185,ASCH LOOP,-73.830285,40.871505,Bronx,360050462017000
1186,Castle Hill Av,-73.850372,40.829640000000005,Bronx,360050078001006
1187,W TREMONT AV,-73.915702,40.850823999999996,Bronx,360050215011000
1188,BAYCHESTER AV,-73.832675,40.870178,Bronx,360050462018004
1189,Hutchinson River Pkwy E,-73.823082,40.865869,Bronx,360050302005001
1190,Hutchinson River Pkwy E,-73.823851,40.86503,Bronx,360050302005002
1191,ASCH LOOP,-73.830083,40.871438,Bronx,360050462017000
1192,Hutchinson River Pkwy,-73.82561199999999,40.863034999999996,Bronx,360050302002000
1193,COOP CITY BLVD,-73.82459899999999,40.873853000000004,Bronx,360050462015002
1194,BALCOM AV,-73.82758299999999,40.823021000000004,Bronx,360050144002001
1195,BALCOM AV,-73.826488,40.821743,Bronx,360050144003001
1196,RIVERDALE AV,-73.90616700000001,40.901818,Bronx,360050323004004
1197,COOP CITY BLVD,-73.824294,40.874301,Bronx,360050462011008
1198,SEDGWICK AV,-73.897743,40.878595000000004,Bronx,360050409001002
1199,BAYCHESTER AV,-73.833986,40.876269,Bronx,360050462018000
1200,STORY AV,-73.87612800000001,40.821783,Bronx,360050028002002
1201,STORY AV,-73.877156,40.821812,Bronx,360050028001008
1202,UNIVERSITY AV,-73.920097,40.847007,Bronx,360050215025000
1203,BOSTON RD,-73.878443,40.842366999999996,Bronx,360050361001000
1204,METROPOLITAN OVAL,-73.85905,40.837949,Bronx,360050210025002
1205,SEDGWICK AV,-73.89644799999999,40.881461,Bronx,360050409001002
1206,Grand Concourse,-73.885775,40.876971999999995,Bronx,360050411001002
1207,E Mosholu Pkwy South,-73.88560600000001,40.87956,Bronx,360050421005004
1208,PELHAM PKWY,-73.836529,40.856764,Bronx,360050296001000
1209,BAYCHESTER AV,-73.833134,40.878599,Bronx,360050462018000
1210,Hutchinson River Pkwy E,-73.824569,40.864598,Bronx,360050302005000
1211,BERGEN AV,-73.91585500000001,40.81625,Bronx,360050071002014
1212,BAINBRIDGE AV,-73.878766,40.879902,Bronx,360050421001001
1213,BAINBRIDGE AV,-73.878747,40.879963000000004,Bronx,360050421001001
1214,OGDEN AV,-73.923748,40.843903000000005,Bronx,360050201002000
1215,Grand Concourse,-73.886945,40.874361,Bronx,360050411003000
1216,E 170 ST,-73.911202,40.837647,Bronx,360050177024000
1217,WHITE PLAINS RD,-73.86748100000001,40.857119,Bronx,360050224031001
1218,PUGSLEY AV,-73.854481,40.820136,Bronx,360050074003000
1219,BOSTON RD,-73.838926,40.881077000000005,Bronx,360050462022000
1220,Grand Concourse,-73.919914,40.831365999999996,Bronx,360050181022002
1221,W KINGSBRIDGE RD,-73.90418199999999,40.870292,Bronx,360050273003000
1222,BROADWAY,-73.89658299999999,40.904296,Bronx,360050345002000
1223,Grand Concourse,-73.924233,40.823622,Bronx,360050059022000
1224,HUNTS POINT AV,-73.891357,40.820622,Bronx,360050089001000
1225,OGDEN AV,-73.929629,40.832687,Bronx,360050189004003
1226,ALLERTON AV,-73.86183299999999,40.865433,Bronx,360050328001000
1227,SOUTHERN BLVD,-73.891643,40.820664,Bronx,360050089001000
1228,E TREMONT AV,-73.87944,40.839937,Bronx,360050060001005
1229,BOSTON RD,-73.907462,40.825638,Bronx,360050185003005
