LAW_CAT_CD,Latitude,Longitude,FIPS
VIOLATION,40.886987247,-73.847446104,360050424001003
VIOLATION,40.667757463,-73.86807624,360471214001001
VIOLATION,40.885961642,-73.84813560100001,360050404001001
VIOLATION,40.885961642,-73.84813560100001,360050404001001
VIOLATION,40.79779899,-73.947508258,360610184004002
VIOLATION,40.827819901,-73.925930756,360050063001003
VIOLATION,40.832533731999995,-73.919464323,360050195004000
VIOLATION,40.765291116,-73.99321106100001,360610135002007
VIOLATION,40.854485483000005,-73.901247913,360050235024000
VIOLATION,40.613314168,-74.152226703,360850251003006
VIOLATION,40.613314168,-74.152226703,360850251003006
VIOLATION,40.887565833000004,-73.862294672,360050394002000
VIOLATION,40.74356933,-73.725677218,360811571011000
VIOLATION,40.702497821,-73.945862952,360470507001002
VIOLATION,40.726461198,-73.994268518,360610055022003
VIOLATION,40.88958255,-73.859494752,360050408002001
VIOLATION,40.890550782,-73.86123238399999,360050408001000
VIOLATION,40.719261783,-73.938313278,360470449003015
VIOLATION,40.716262809,-73.979915818,360610010022003
VIOLATION,40.869470477,-73.87986080399999,360050425003004
VIOLATION,40.845742674,-73.90018020000002,360050395004005
VIOLATION,40.84883927,-73.93570271,360610263001001
VIOLATION,40.767667737,-73.86646678,360810357003008
VIOLATION,40.839642483,-73.904967094,360050167002007
VIOLATION,40.664439497,-73.961184258,360470213003003
VIOLATION,40.90512091,-73.847086132,360050442003002
VIOLATION,40.636818966999996,-74.118653127,360850133022002
VIOLATION,40.858257201,-73.854955369,360050326003004
VIOLATION,40.85272042,-73.89784545399999,360050379005000
VIOLATION,40.617537477,-73.993672731,360470260003001
VIOLATION,40.856765560999996,-73.900351634,360050237041000
VIOLATION,40.668194559,-73.89246141699999,360471158002002
VIOLATION,40.663447686,-73.95847426899999,360470327002000
VIOLATION,40.694854298,-73.811232495,360810206001006
VIOLATION,40.734119173,-73.997103983,360610063002001
VIOLATION,40.842666566999995,-73.8889483,360050365022001
VIOLATION,40.878788602,-73.86025525699999,360050380002000
VIOLATION,40.802903945,-73.960698974,360610197011002
VIOLATION,40.802903945,-73.960698974,360610197011002
VIOLATION,40.745285626,-73.921597996,360810181023000
VIOLATION,40.702099496,-73.831827156,360810140001010
VIOLATION,40.812642366999995,-73.915095523,360050043002009
VIOLATION,40.791997615999996,-73.949719421,360610168001000
VIOLATION,40.724161959,-73.870002974,360810679002002
VIOLATION,40.76131858,-73.8232488,360810865002002
VIOLATION,40.634928247,-73.99043925,360470234002000
VIOLATION,40.846176711999995,-73.784118068,360050516003011
VIOLATION,40.64438168,-73.998534839,360470092002001
VIOLATION,40.682910305,-73.950082901,360470249002001
VIOLATION,40.75201086,-73.935871961,360810033002006
VIOLATION,40.849316554,-73.900492917,360050379002000
VIOLATION,40.833450977,-73.943407506,360610241005000
VIOLATION,40.814515967,-73.82611687100001,360050132001003
VIOLATION,40.690068499,-73.93346869,360470291002000
VIOLATION,40.75985157,-73.90631545,360810297001009
VIOLATION,40.630932176,-74.003557327,360470214002006
VIOLATION,40.681967344,-73.982367054,360470127001002
VIOLATION,40.658621524000004,-73.938261224,360470874012001
VIOLATION,40.868902634,-73.862900971,360050340002001
VIOLATION,40.80707632,-73.947847719,360610222002002
VIOLATION,40.750661499,-73.713160132,360811551023000
VIOLATION,40.717982647,-74.005553275,360610033002007
VIOLATION,40.905802203,-73.906920067,360050323004000
VIOLATION,40.799665264,-73.94719978,360610186001000
VIOLATION,40.759612689,-73.909640303,360810151001000
VIOLATION,40.679804127,-73.865557498,360471188001001
VIOLATION,40.623226819,-74.149226973,360850303012001
VIOLATION,40.668503474,-73.925599401,360470357001002
VIOLATION,40.84503177,-73.93968936600001,360610263004005
VIOLATION,40.690693556999996,-73.866336063,360810004001003
VIOLATION,40.84843278,-73.940300748,360610265002009
VIOLATION,40.633826089,-74.020869303,360470130001000
VIOLATION,40.629058597,-74.165912962,360850319012004
VIOLATION,40.703432882,-73.808615025,360810240001000
VIOLATION,40.807280045,-73.928518321,360050019001004
VIOLATION,40.767848752,-73.987629545,360610139002000
VIOLATION,40.767848752,-73.987629545,360610139002000
VIOLATION,40.767848752,-73.987629545,360610139002000
VIOLATION,40.690106415,-73.988970943,360470037001013
VIOLATION,40.690106415,-73.988970943,360470037001013
VIOLATION,40.690106415,-73.988970943,360470037001013
VIOLATION,40.628949423,-74.116189357,360850105004007
VIOLATION,40.820706205,-73.850213861,360050086003000
VIOLATION,40.85665355,-73.843871808,360050296002000
VIOLATION,40.657727629,-73.770094944,360810320002019
VIOLATION,40.657727629,-73.770094944,360810320002019
VIOLATION,40.785217275,-73.971253733,360610169001000
VIOLATION,40.749481441,-73.876677386,360810275003002
VIOLATION,40.724555289,-73.809467138,360811257001009
VIOLATION,40.654223423000005,-73.911563409,360470890006003
VIOLATION,40.711092436,-73.85479946699999,360810729002005
VIOLATION,40.821627397,-73.917237434,360050069003000
VIOLATION,40.717386049,-74.016047133,360610317031000
VIOLATION,40.682755392,-73.96119523,360470231003001
VIOLATION,40.883436877,-73.83634464100001,360050484004008
VIOLATION,40.706685469,-73.864738638,360810637003002
VIOLATION,40.631111824,-73.952531869,360470772002002
VIOLATION,40.834280024,-73.88745537,360050157002000
VIOLATION,40.823032221999995,-73.909312109,360050141002005
VIOLATION,40.661997086999996,-73.932455017,360470880003002
VIOLATION,40.875871971,-73.901006423,360050273002001
VIOLATION,40.757989139,-73.983653605,360610125001007
VIOLATION,40.688764915,-73.920755778,360470397003003
VIOLATION,40.739179416,-73.983946905,360610068004000
VIOLATION,40.576332605,-73.964068481,360470360013001
VIOLATION,40.824232622,-73.900490682,360050131003006
VIOLATION,40.837510383,-73.943360687,360610245003000
VIOLATION,40.816601773,-73.94467185399999,360610228004001
VIOLATION,40.785742696,-73.976442653,360610171002000
VIOLATION,40.694264768000004,-73.83482559699999,360810124002003
VIOLATION,40.822862676999996,-73.860452192,360050042005004
VIOLATION,40.727011632,-73.80604701899999,360811241001018
VIOLATION,40.589893728,-73.80807989899999,360810942021024
VIOLATION,40.836819196,-73.916958337,360050221023000
VIOLATION,40.835127063,-73.922861751,360050197003001
VIOLATION,40.666895997,-73.953566175,360470323002000
VIOLATION,40.643642698,-73.94251269,360470854002005
VIOLATION,40.821833944,-73.900729117,360050133002002
VIOLATION,40.720335773,-73.978475178,360610022021000
VIOLATION,40.738340633,-74.001286084,360610077001000
VIOLATION,40.764777943,-73.93819892399999,360810085001001
VIOLATION,40.606657079,-74.006880134,360470180002001
VIOLATION,40.639064398,-74.076341589,360850003002003
VIOLATION,40.721532896,-73.751649087,360810548001005
VIOLATION,40.800175902,-73.94745943,360610190001003
VIOLATION,40.757240531,-73.98979363699999,360610121001001
VIOLATION,40.698439694,-73.831129539,360810122001000
VIOLATION,40.677264471,-73.76172834100001,360810352002005
VIOLATION,40.727369556999996,-73.857534898,360810713064001
VIOLATION,40.853193661,-73.829211211,360050300003000
VIOLATION,40.730726665,-73.90258952,360810515003000
VIOLATION,40.560329033,-74.163770066,360850279001016
VIOLATION,40.812642366999995,-73.915095523,360050043002009
VIOLATION,40.689335504,-73.80040883,360810196002001
VIOLATION,40.637223031,-73.91262722399999,360470954003001
VIOLATION,40.819594003,-73.910483773,360050071001004
VIOLATION,40.805065604,-73.93903565800001,360610198001000
VIOLATION,40.718743054,-73.997591659,360610041005003
VIOLATION,40.704669459,-73.80782521100001,360810238003000
VIOLATION,40.832486409,-73.904232905,360050147012000
VIOLATION,40.711729862,-73.943070783,360470495002002
VIOLATION,40.720441888,-74.006743974,360610033003014
VIOLATION,40.664934144,-73.78067474699999,360810306004025
VIOLATION,40.769561241999995,-73.915363447,360810125001010
VIOLATION,40.584119414,-73.932991003,360470622001009
VIOLATION,40.878608015,-73.863014756,360050380003003
VIOLATION,40.805412948000004,-73.941961193,360610198001002
VIOLATION,40.603767011,-73.999140741,360470284003002
VIOLATION,40.818823297,-73.94123775899999,360610230004001
VIOLATION,40.575692114,-73.970353973,360470356022002
VIOLATION,40.66302032,-73.895079385,360471126003002
VIOLATION,40.755448096,-73.857287155,360810381003005
VIOLATION,40.633192976,-73.941883988,360470784002001
VIOLATION,40.799086317,-73.947619211,360610186001002
VIOLATION,40.615925663,-73.986487073,360470256002000
VIOLATION,40.779505997,-73.955585504,360610148025000
VIOLATION,40.883859455,-73.83434733,360050484001000
VIOLATION,40.597120566,-73.94124921699999,360470572002000
VIOLATION,40.589050975999996,-74.10179009,360850181003004
