,NAME,LINE,Longitude,Latitude,FIPS
719,Franklin Ave & Eastern Pkwy at NE corner,FS-2-3-4-5,-73.957764,40.670922,3.60E+14
720,Nostrand Ave & Eastern Pkwy at SE corner,3,-73.950247,40.669711,3.60E+14
721,Nostrand Ave & Eastern Pkwy at SW corner,3,-73.950798,40.669741,3.60E+14
722,Kingston Ave & Eastern Pkwy at SE corner,3,-73.941948,40.669261,3.60E+14
723,Kingston Ave & Eastern Pkwy at SW corner,3,-73.942463,40.669289,3.60E+14
724,Utica Ave & Eastern Pkwy at SE corner,4-Mar,-73.931831,40.668935,3.60E+14
725,Utica Ave & Eastern Pkwy at SE corner,4-Mar,-73.931702,40.6687,3.60E+14
726,Utica Ave & Eastern Pkwy at NW corner,4-Mar,-73.931675,40.66896,3.60E+14
727,Utica Ave & Eastern Pkwy at SW corner,4-Mar,-73.931883,40.668708,3.60E+14
728,Utica Ave & Eastern Pkwy at NW corner,4-Mar,-73.931874,40.668969,3.60E+14
729,Rutland Rd & E. 98th St at NE corner,3,-73.922675,40.664891,3.60E+14
730,Rutland Rd & E. 98th St at SW corner,3,-73.923109,40.664887,3.60E+14
731,Rutland Rd & E. 98th St at NW corner,3,-73.92297,40.66516,3.60E+14
732,Saratoga Ave & Livonia Ave at SE corner,3,-73.915225,40.661558,3.60E+14
733,Saratoga Ave & Livonia Ave at NE corner,3,-73.91524,40.661689,3.60E+14
734,Saratoga Ave & Livonia Ave at SW corner,3,-73.915543,40.661401,3.60E+14
735,Rockaway Ave & Livonia Ave at SE corner,3,-73.908809,40.662401,3.60E+14
736,Rockaway Ave & Livonia Ave at NW corner,3,-73.909033,40.662703,3.60E+14
737,Powell St & Livonia Ave at SW corner,3,-73.902636,40.663426,3.60E+14
738,Powell St & Livonia Ave at SW corner,3,-73.903063,40.663361,3.60E+14
739,Pennsylvania Ave & Livonia Ave at NE corner,3,-73.893779,40.664869,3.60E+14
740,Pennsylvania Ave & Livonia Ave at SW corner,3,-73.894117,40.664575,3.60E+14
741,Van Siclen Ave & Livonia Ave at SE corner,3,-73.888386,40.665431,3.60E+14
742,Van Siclen Ave & Livonia Ave at NW corner,3,-73.888613,40.66574,3.60E+14
743,Ashford St & Livonia Ave at SW corner,3,-73.883276,40.666285,3.60E+14
744,Ashford St & Livonia Ave at NW corner,3,-73.883307,40.666413,3.60E+14
745,Nostrand Ave & President St at NW corner,5-Feb,-73.950862,40.668166,3.60E+14
746,Nostrand Ave & President St at NE corner,5-Feb,-73.950458,40.668145,3.60E+14
747,Nostrand Ave & Sterling St at NW corner,5-Feb,-73.951044,40.66329,3.60E+14
748,Nostrand Ave & Sterling St at NE corner,5-Feb,-73.95067,40.663226,3.60E+14
749,Nostrand Ave & Winthrop St at NE corner,5-Feb,-73.949976,40.657184,3.60E+14
750,Nostrand Ave & Church Ave at SE corner,5-Feb,-73.949384,40.650748,3.60E+14
751,Nostrand Ave & Church Ave at SE corner,5-Feb,-73.949429,40.65064,3.60E+14
752,Nostrand Ave & Church Ave at NE corner,5-Feb,-73.949416,40.65091,3.60E+14
753,Nostrand Ave & Beverly Rd at SE corner,5-Feb,-73.948684,40.645046,3.60E+14
754,Nostrand Ave & Newkirk Ave at SE corner,5-Feb,-73.948161,40.639924,3.60E+14
755,Nostrand Ave & Flatbush Ave at NE corner,5-Feb,-73.947518,40.632463,3.60E+14
756,Nostrand Ave & Flatbush Ave at NE corner,5-Feb,-73.947389,40.632359,3.60E+14
757,Nostrand Ave & Flatbush Ave at SE corner,5-Feb,-73.947482,40.632324,3.60E+14
758,Nostrand Ave & Flatbush Ave at NE corner,5-Feb,-73.947375,40.63275,3.60E+14
759,Nostrand Ave & Flatbush Ave at NE corner,5-Feb,-73.947547,40.632868,3.60E+14
760,Burr Ave & Westchester Ave at NE corner,6,-73.825986,40.852377,3.60E+14
761,,6,-73.827195,40.852803,3.60E+14
762,,6,-73.826991,40.853041,3.60E+14
763,Burr Ave & Westchester Ave at NE corner,6,-73.827172,40.853012,3.60E+14
764,Burr Ave & Westchester Ave at SE corner,6,-73.827035,40.852824,3.60E+14
765,Edison Ave & Buhre Ave at SW corner,6,-73.832639,40.846891,3.60E+14
766,Edison Ave & Westchester Ave at SE corner,6,-73.832405,40.846795,3.60E+14
767,Edison Ave & Westchester Ave at NE corner,6,-73.832264,40.847185,3.60E+14
768,Westchester Ave & Middletown Rd at NW corner,6,-73.836386,40.843935,3.60E+14
769,Westchester Ave & Middletown Rd at NE corner,6,-73.836478,40.843609,3.60E+14
770,Westchester Ave & Ferris Pl at SW corner,6,-73.842875,40.840128,3.60E+14
771,Westchester Ave & Zerega Ave at NW corner,6,-73.846653,40.836954,3.60E+14
772,Westchester Ave & Zerega Ave at SE corner,6,-73.846726,40.836613,3.60E+14
773,Castle Hill Ave & Westchester Ave at SW corner,6,-73.851857,40.834093,3.60E+14
774,Castle Hill Ave & Westchester Ave at NE corner,6,-73.85144,40.834321,3.60E+14
775,Metropolitan Ave & Westchester Ave at NW corner,6,-73.860888,40.833225,3.60E+14
776,St Lawrence Ave & Westchester Ave at NE corner,6,-73.867078,40.831765,3.60E+14
777,St Lawrence Ave & Westchester Ave at SW corner,6,-73.86741,40.831466,3.60E+14
778,Morrison Ave & Westchester Ave at NW corner,6,-73.87486,40.829517,3.60E+14
779,Morrison Ave & Westchester Ave at SW corner,6,-73.874731,40.829371,3.60E+14
780,Morrison Ave & Westchester at NE corner,6,-73.874447,40.829641,3.60E+14
781,Elder Ave & Westchester Ave at NE corner,6,-73.879018,40.828688,3.60E+14
782,Elder Ave & Westchester Ave at SW corner,6,-73.879362,40.82846,3.60E+14
783,Whitlock Ave & Westchester Ave at SW corner,6,-73.886256,40.827298,3.60E+14
