,LAW_CAT_CD,Latitude,Longitude
2390,VIOLATION,40.58764008,-73.95333685
2412,VIOLATION,40.748580841,-73.902061752
2413,VIOLATION,40.652651734,-73.949770377
2416,VIOLATION,40.595593388000005,-73.934210968
2420,VIOLATION,40.644417306,-74.00387515
2421,VIOLATION,40.735783278,-73.81062580300001
2430,VIOLATION,40.735990468000004,-73.855033883
2432,VIOLATION,40.671037471,-73.930910179
2435,VIOLATION,40.590642518,-73.959596104
2451,VIOLATION,40.842375266,-73.870198448
2493,VIOLATION,40.587271174,-74.158547193
2494,VIOLATION,40.802640491,-73.947074612
2495,VIOLATION,40.697812797,-73.940882801
2496,VIOLATION,40.659357041999996,-73.920271697
2497,VIOLATION,40.836847284,-73.945692198
2499,VIOLATION,40.760157529000004,-73.983952679
2507,VIOLATION,40.885739104,-73.856548167
2521,VIOLATION,40.833648657,-73.905730918
2529,VIOLATION,40.685590534,-73.865917216
2543,VIOLATION,40.690017205,-73.796278008
2552,VIOLATION,40.67972993,-73.837807178
2565,VIOLATION,40.827243034,-73.86964983
2571,VIOLATION,40.662518015,-73.927011804
2573,VIOLATION,40.831891381999995,-73.911840398
2576,VIOLATION,40.696078078,-73.952701992
2579,VIOLATION,40.861886273,-73.89320749
2595,VIOLATION,40.711389864000004,-74.000106051
2596,VIOLATION,40.708642677,-73.731736329
2598,VIOLATION,40.638984176,-74.171252305
2611,VIOLATION,40.750228996,-73.97905742399999
2630,VIOLATION,40.65618387,-73.899043819
2635,VIOLATION,40.756010153000005,-73.832376854
2640,VIOLATION,40.622153897,-74.02728485600001
2648,VIOLATION,40.673725073,-73.947353555
2649,VIOLATION,40.615371185,-73.961900747
2651,VIOLATION,40.756010153000005,-73.832376854
2669,VIOLATION,40.681030737,-73.777001947
2672,VIOLATION,40.69969571,-73.98169156899999
2689,VIOLATION,40.657678426,-73.926166515
2694,VIOLATION,40.678734423,-73.908210421
2712,VIOLATION,40.674756222,-73.805798819
2714,VIOLATION,40.67047254,-73.936530737
2717,VIOLATION,40.831891381999995,-73.911840398
2722,VIOLATION,40.833046820999996,-73.90482474
2733,VIOLATION,40.615687185,-74.010443342
2734,VIOLATION,40.829659361,-73.904244201
2737,VIOLATION,40.868722543000004,-73.889468822
2754,VIOLATION,40.572449525,-74.169850666
2755,VIOLATION,40.815885942,-73.900506774
2757,VIOLATION,40.835127063,-73.922861751
2762,VIOLATION,40.712270663000005,-74.007882996
2764,VIOLATION,40.839739531,-73.913178032
2780,VIOLATION,40.862255241999996,-73.926297313
