FIPS,Resp_HI
36047048000,2.75
36047048100,3.486
36047048200,2.897
36047048400,2.792
36047048500,3.446
36047048600,3.016
36047048800,3.242
36047048900,3.516
36047049000,3.166
36047049100,3.453
36047049200,3.099
36047049300,3.314
36047049400,3.432
36047049500,3.416
36047049600,3.228
36047049700,3.642
36047049800,3.249
36047049900,3.473
36047050000,4.466
36047050100,4.21
36047050202,6.641
36047050300,3.44
36047050400,8.068
36047050500,3.337
36047050600,6.573
36047050700,3.188
36047050801,7.513
36047050803,5.938
36047050804,8.023
36047050900,3.333
36047051001,3.998
36047051002,4.338
36047051100,3.544
36047051200,3.92
36047051300,3.86
36047051400,3.354
36047051500,3.57
36047051601,3.415
36047051602,3.45
36047051700,3.4
36047051800,2.868
36047051900,3.778
36047052000,3.014
36047052300,3.882
36047052500,3.727
36047052600,2.97
36047052700,3.795
36047052800,2.793
36047052900,3.763
36047053000,2.767
36047053100,3.619
36047053200,2.66
36047053300,3.997
36047053400,2.713
36047053500,3.658
36047053700,4.324
36047053800,2.671
36047053900,3.804
36047054200,2.846
36047054300,3.539
36047054400,2.844
36047054500,3.967
36047054600,2.879
36047054700,3.483
36047054800,2.707
36047054900,3.721
36047055000,2.992
36047055100,3.679
36047055200,3.055
36047055300,3.452
36047055400,3.056
36047055500,3.568
36047055600,2.814
36047055700,3.452
36047055800,2.934
36047056000,2.937
36047056100,3.579
36047056200,2.711
36047056300,3.676
36047056400,2.881
36047056500,3.624
36047056600,2.838
36047056800,2.761
36047056900,3.534
36047057000,2.869
36047057100,3.464
36047057200,3.388
36047057300,3.53
36047057400,2.823
36047057500,3.688
36047057600,2.905
36047057800,2.824
36047057900,3.652
36047058000,2.8
36047058200,2.811
36047058400,2.86
36047058600,2.692
36047058800,2.8
36047058900,3.509
36047059000,2.739
36047059100,3.539
36047059200,2.895
36047059300,3.509
36047059401,2.844
36047059402,2.875
36047059600,2.813
36047059800,2.92
36047060000,2.88
36047060600,3.054
36047060800,3.924
36047061002,2.638
36047061003,3.1
36047061004,3.199
36047061200,2.545
36047061600,2.244
36047062000,2.464
36047062200,3.271
36047062600,2.869
36047062800,2.487
36047063200,3.014
36047063600,2.647
36047063800,2.737
36047064000,2.545
36047064200,2.614
36047064400,2.52
36047064600,2.471
36047064800,2.514
36047065000,2.527
36047065200,2.497
36047065400,2.479
36047065600,2.487
36047065800,2.717
36047066000,2.795
36047066200,2.675
36047066600,X
36047067000,2.594
36047067200,2.497
36047067400,2.515
36047067600,2.521
36047067800,2.543
36047068000,2.551
36047068200,2.529
36047068600,2.409
36047068800,2.426
36047069000,2.488
36047069200,2.534
36047069601,2.504
36047069602,2.375
36047069800,2.356
36047070000,2.313
36047070201,2.333
36047070202,2.433
36047070203,X
36047070600,2.366
36047072000,2.647
36047072200,2.623
36047072400,2.687
36047072600,2.63
36047072800,2.754
36047073000,2.661
36047073200,2.699
36047073400,2.649
36047073600,2.565
36047073800,2.631
36047074000,2.708
36047074200,2.615
36047074400,2.536
36047074600,2.517
36047074800,2.493
36047075000,2.574
36047075200,2.504
36047075400,2.478
36047075600,2.493
36047075800,2.444
36047076000,2.51
36047076200,2.671
36047076400,2.885
36047076600,2.782
36047076800,2.702
36047077000,2.842
36047077200,2.736
36047077400,2.762
36047077600,2.867
36047078000,2.913
36047078200,2.898
36047078400,3.179
36047078600,2.98
36047078800,2.854
36047079000,3.085
36047079200,3.255
36047079400,3.583
36047079601,4.81
36047079602,8.314
36047079801,3.759
36047079802,4.206
36047080000,3.409
36047080200,3.91
36047080400,3.533
36047080600,3.26
36047080800,3.42
36047081000,3.333
36047081400,5.761
36047081600,6.932
36047081800,8.124
36047082000,7.166
36047082200,7.095
36047082400,3.685
36047082600,3.303
36047082800,3.017
36047083000,3.07
36047083200,3.084
36047083400,2.906
36047083600,2.728
36047083800,2.884
36047084000,2.83
36047084600,2.915
36047084800,3.014
36047085000,2.994
36047085200,2.804
36047085400,3.032
36047085600,3.651
36047085800,3.631
36047086000,3.539
36047086200,3.528
36047086400,7.693
36047086600,4.785
36047086800,6.934
36047087000,5.532
36047087200,7.424
36047087401,3.388
36047087600,3.361
36047087800,3.758
36047088000,3.336
36047088200,3.547
36047088400,3.437
36047088600,4.127
36047088800,6.6
36047089000,5.288
36047089200,3.336
36047089400,3.586
36047089600,3.673
36047089800,3.133
36047090000,3.048
36047090200,3.084
36047090600,3.041
36047090800,3.041
36047091000,3.261
36047091200,3.25
36047091600,3.477
36047091800,3.428
36047092000,4.238
36047092200,5.979
36047092400,3.15
36047092800,5.455
36047093000,3.359
36047093200,2.855
36047093400,3.476
36047093600,3.468
36047093800,3.406
36047094401,2.813
36047094402,2.805
36047094600,3.015
36047095000,2.804
36047095400,3.086
36047095600,2.721
36047095800,2.802
36047096000,X
36047096200,2.861
36047096400,2.806
36047096600,2.79
36047096800,2.892
36047097000,3.063
36047097400,3.087
36047098200,3.144
36047098400,2.976
36047098600,2.906
36047098800,2.771
36047099000,2.629
36047099200,2.758
36047099400,2.688
36047099600,2.794
36047099800,2.526
36047100400,2.719
36047100600,2.661
36047100800,2.524
36047101000,2.583
36047101200,2.629
36047101400,2.642
36047101600,2.739
36047101800,2.776
36047102000,2.683
36047102200,2.556
36047102400,2.523
36047102600,2.608
36047102800,2.606
36047103400,2.498
36047105801,3.226
36047105804,2.92
36047107000,2.993
36047107800,3.749
36047109800,4.865
36047110400,5.681
36047110600,3.958
36047111000,7.961
36047111600,7.417
36047111800,3.773
36047112000,3.656
36047112200,3.586
36047112400,3.358
36047112600,3.221
36047112800,3.486
36047113000,3.458
36047113200,4.005
36047113400,3.106
36047114201,3.187
36047114202,2.977
36047114400,3.027
36047114600,2.994
36047115000,3.076
36047115200,3.029
36047115600,3.184
36047115800,3.162
36047116000,3.108
36047116200,3.138
36047116400,3.159
36047116600,3.069
36047116800,3.03
36047117000,2.955
36047117201,2.968
36047117202,3.051
36047117400,3.048
36047117601,3.1
36047117602,3.183
36047117800,3.233
36047118000,2.568
36047118201,3.099
36047118202,3.111
36047118400,3.127
36047118600,3.217
36047118800,3.291
36047119000,3.167
36047119200,3.103
36047119400,3.378
36047119600,3.437
36047119800,3.051
36047120000,3.739
36047120200,3.641
36047120800,6.881
36047121000,4.668
36047121400,9.007
36047122000,5.613
36047123700,3.462
36047150200,7.254
36047152200,3.307
36047990100,X
36061000100,1.988
36061000201,3.827
36061000202,3.612
36061000500,X
36061000600,4.009
36061000700,5.185
36061000800,4.192
36061000900,5.276
36061001001,3.582
36061001002,3.867
36061001200,3.962
36061001300,5.799
36061001401,4.316
36061001402,4.376
36061001501,4.756
36061001502,4.917
36061001600,4.541
36061001800,4.35
36061002000,3.725
36061002100,6.263
36061002201,4.331
36061002202,4.485
36061002400,3.765
36061002500,4.015
36061002601,4.27
36061002602,4.365
36061002700,4.161
36061002800,4.332
36061002900,4.364
36061003001,4.47
36061003002,4.436
36061003100,4.629
36061003200,4.57
36061003300,4.789
36061003400,4.506
36061003601,4.426
36061003602,4.52
36061003700,5.834
36061003800,4.842
36061003900,5.923
36061004000,4.9
36061004100,4.698
36061004200,4.938
36061004300,4.728
36061004400,4.276
36061004500,4.784
36061004700,4.52
36061004800,5.067
36061004900,4.708
36061005000,5.277
36061005200,5.209
36061005400,5.524
36061005501,4.843
36061005502,4.659
36061005600,5.517
36061005700,5.008
36061005800,5.763
36061005900,5.093
36061006000,4.335
36061006100,5.168
36061006200,5.007
36061006300,5.164
36061006400,5.311
36061006500,4.764
36061006600,5.696
36061006700,4.963
36061006800,5.626
36061006900,5.166
36061007000,5.801
36061007100,4.977
36061007200,5.886
36061007300,5.101
36061007400,6.111
36061007500,5.536
36061007600,6.048
36061007700,5.122
36061007800,7.663
36061007900,5.817
36061008000,6.217
36061008100,5.419
36061008200,6.401
36061008300,5.062
36061008400,5.822
36061008601,7.935
36061008602,X
36061008603,5.18
36061008700,5.458
36061008800,6.438
36061008900,5.17
36061009000,5.877
36061009100,5.616
36061009200,6.129
36061009300,5.728
36061009400,5.688
36061009500,5.586
36061009600,5.987
36061009700,5.315
36061009800,5.683
36061009900,6.063
36061010000,5.646
36061010100,5.78
36061010200,5.946
36061010300,5.748
36061010400,5.585
36061010601,5.431
36061010602,4.907
36061010800,6.087
36061010900,5.963
36061011000,5.422
36061011100,6.167
36061011201,5.624
36061011202,5.571
36061011203,5.385
36061011300,4.573
36061011401,5.058
36061011402,5.111
36061011500,5.958
36061011600,4.52
36061011700,9.638
36061011800,5.381
36061011900,5.868
36061012000,4.905
36061012100,5.888
36061012200,4.661
36061012400,5.15
36061012500,6.017
36061012600,5.733
36061012700,5.716
36061012800,5.029
36061012900,6.356
36061013000,4.653
36061013100,5.614
36061013200,5.257
36061013300,5.496
36061013400,5.766
36061013500,5.916
36061013600,5.197
36061013700,5.819
36061013800,5.98
36061013900,5.899
36061014000,5.129
36061014200,4.68
36061014300,3.372
36061014401,5.77
36061014402,5.299
36061014500,5.436
36061014601,5.973
36061014602,5.993
36061014700,5.506
36061014801,5.414
36061014802,5.35
36061014900,5.48
36061015001,5.121
36061015002,4.861
36061015100,5.499
36061015200,4.662
36061015300,5.623
36061015400,5.85
36061015500,5.746
36061015601,5.674
36061015602,4.793
36061015700,5.694
36061015801,5.006
36061015802,5.101
36061015900,5.532
36061016001,4.626
36061016002,4.912
36061016100,5.199
36061016200,4.21
36061016300,4.947
36061016400,4.588
36061016500,4.901
36061016600,4.764
36061016700,4.885
36061016800,4.53
36061016900,5.137
36061017000,4.778
36061017100,4.989
36061017200,4.753
36061017300,5.092
36061017401,4.591
36061017402,4.7
36061017500,5.151
36061017700,5.273
36061017800,4.03
36061017900,4.926
36061018000,4.484
36061018100,5.461
36061018200,4.7
36061018300,5.119
36061018400,4.754
36061018500,4.928
36061018600,4.709
36061018700,4.912
36061018800,4.611
36061018900,4.734
36061019000,4.565
36061019100,4.957
36061019200,4.355
36061019300,4.707
36061019400,4.388
36061019500,4.914
36061019600,4.479
36061019701,4.274
36061019702,4.767
36061019800,4.411
36061019900,4.772
36061020000,4.494
36061020101,4.469
36061020102,4.726
36061020300,4.504
36061020500,4.651
36061020600,4.332
36061020701,4.966
36061020800,4.458
36061020901,4.53
36061021000,4.427
36061021100,4.624
36061021200,4.472
36061021303,4.716
36061021400,4.593
36061021500,4.696
36061021600,4.554
36061021703,3.092
36061021800,4.67
36061021900,4.587
36061022000,4.493
36061022102,4.483
36061022200,4.486
36061022301,4.519
36061022302,5.017
36061022400,4.56
36061022500,4.652
36061022600,4.454
36061022700,4.821
36061022800,4.483
36061022900,4.73
36061023000,4.685
36061023100,4.857
36061023200,4.584
36061023300,4.636
36061023400,4.621
36061023501,4.713
36061023502,4.527
36061023600,4.573
36061023700,4.467
36061023801,4.176
36061023802,4.098
